Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 2 has 0 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 5 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 3 has 3 low density subscriptions, 9 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 47 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 4 has 3 low density subscriptions, 0 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 39 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 5 has 7 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 16 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 6 has 9 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 25 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 7 has 3 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 8 sockets. They are running 30 virtual machines, with 14 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 8 has 5 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 27 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 9 has 2 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 11 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 10 has 4 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 40 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 11 has 7 low density subscriptions, 6 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 0 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 12 has 6 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 33 virtual machines, with 4 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 13 has 8 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 25 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 14 has 8 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 14 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 15 has 1 low density subscriptions, 6 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 48 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 16 has 6 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 34 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 17 has 7 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 7 sockets. They are running 40 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 18 has 7 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 43 virtual machines, with 8 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 19 has 8 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 3 sockets. They are running 38 virtual machines, with 1 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 20 has 1 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 19 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 21 has 5 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 42 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 22 has 9 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 34 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 23 has 8 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 38 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 24 has 9 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 21 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 25 has 4 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 20 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 26 has 3 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 26 virtual machines, with 7 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 27 has 0 low density subscriptions, 3 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 35 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 28 has 3 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 27 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 29 has 5 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 3 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 30 has 0 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 25 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 31 has 2 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 7 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 32 has 3 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 7 sockets. They are running 4 virtual machines, with 3 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 33 has 8 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 4 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 34 has 1 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 3 sockets. They are running 9 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 35 has 3 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 4 virtual machines, with 17 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 36 has 3 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 33 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 37 has 3 low density subscriptions, 0 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 49 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 38 has 7 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 10 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 39 has 0 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 23 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 40 has 1 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 48 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 41 has 9 low density subscriptions, 3 high density subscriptions, and 5 physical servers with a total of 2 sockets. They are running 32 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 42 has 9 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 13 virtual machines, with 14 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 43 has 0 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 21 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 44 has 4 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 28 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 45 has 7 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 23 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 46 has 3 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 48 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 47 has 2 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 5 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 48 has 7 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 2 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 49 has 2 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 50 has 0 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 9 virtual machines, with 14 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 51 has 0 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 7 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 52 has 4 low density subscriptions, 2 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 29 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 53 has 5 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 21 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 54 has 5 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 16 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 55 has 6 low density subscriptions, 6 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 14 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 56 has 8 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 19 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 57 has 4 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 37 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 58 has 1 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 26 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 59 has 4 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 12 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 60 has 9 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 15 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 61 has 8 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 19 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
